Material,Value
 CoNiFe(AlSi)0.2 ,342.0
 HEA         ,1262.0
 SWCed       ,630.0
 HEA         ,315.0
 CTCRed HEA  ,1500.0
 Coated HEA  ,130.0
 As-cast HEA ,52.0
 MoNbTaVW RHEA ,2612.0
 Ni20Co20Fe20Cr20Al20 ,1860.0
 Ni20Co20Fe20Cr20Sn20 ,1830.0
 CoCrFeNi+Y2O3 ,1754.0
 MoNbTaW RHEA (at 1at.%% Ti) ,1455.0
 Ni20Co20Fe20Cr20Ga20 ,1360.0
 Al14Co4Cr34Fe34Ni14 HEA ,1353.0
 Al0.5CoCrCuFeNi ,1292.0
 Al-containing HEA ,1250.0
 MoNbTaVW    ,1246.0
 Ni20Co20Fe20Cr20Ge20 ,1130.0
 MoNbTaW     ,1058.0
 HfNbTaTiZr HEA ,1015.0
 HfNbTaTiZr  ,929.0
 AlCrFe2Ni2 HEA ,796.0
 This alloy  ,656.0
 CoCrFeNi HEA ,654.0
 Al19Co20Fe20Ni41 eutectic HEA ,577.0
 Co10Cr10Fe40Mn40 + 1wt% C and Mo ,560.0
 C-containing HEAs ,527.0
 Al0.3CoCrFeNi FCC HEA ,490.0
 MoNbTaVW    ,477.0
 CrNbTiVZr HEA ,440.0
 Alloy (700°C) ,413.0
 MoNbTaW    ,405.0
 HEA with Ni-P film ,400.0
 304 stainless steel ,310.0
 HEA substrate ,275.0
 Co10Cr10Fe40Mn40 ,240.0
 HEA without Cu ,188.0
 Al-free HEA ,95.0
 Alloy (900°C) ,94.0
 CoCrFeNi   ,1200.0
 EHEA       ,1437.0
 Zr-based bulk metallic glass ,1900.0
 CoNiFe(AlSi)0.2 ,342.0
 HEA         ,1262.0
 SWCed       ,630.0
 HEA         ,315.0
 CTCRed HEA  ,1500.0
 Coated HEA  ,130.0
 As-cast HEA ,52.0
 MoNbTaVW RHEA ,2612.0
 Ni20Co20Fe20Cr20Al20 ,1860.0
 Ni20Co20Fe20Cr20Sn20 ,1830.0
 CoCrFeNi+Y2O3 ,1754.0
 MoNbTaW RHEA (at 1at.%% Ti) ,1455.0
 Ni20Co20Fe20Cr20Ga20 ,1360.0
 Al14Co4Cr34Fe34Ni14 HEA ,1353.0
 Al0.5CoCrCuFeNi ,1292.0
 Al-containing HEA ,1250.0
 MoNbTaVW    ,1246.0
 Ni20Co20Fe20Cr20Ge20 ,1130.0
 MoNbTaW     ,1058.0
 HfNbTaTiZr HEA ,1015.0
 HfNbTaTiZr  ,929.0
 AlCrFe2Ni2 HEA ,796.0
 This alloy  ,656.0
 CoCrFeNi HEA ,654.0
 Al19Co20Fe20Ni41 eutectic HEA ,577.0
 Co10Cr10Fe40Mn40 + 1wt% C and Mo ,560.0
 C-containing HEAs ,527.0
 Al0.3CoCrFeNi FCC HEA ,490.0
 MoNbTaVW    ,477.0
 CrNbTiVZr HEA ,440.0
 Alloy (700°C) ,413.0
 MoNbTaW    ,405.0
 HEA with Ni-P film ,400.0
 304 stainless steel ,310.0
 HEA substrate ,275.0
 Co10Cr10Fe40Mn40 ,240.0
 HEA without Cu ,188.0
 Al-free HEA ,95.0
 Alloy (900°C) ,94.0
 CoCrFeNi   ,1200.0
 EHEA       ,1437.0
 Zr-based bulk metallic glass ,1900.0
 Al2CoCrCuFeNi ,1230.0
 AlCoCrFeNi   ,1180.0
 CoCrFeNiPd   ,1175.0
 CoCrFeNiMn   ,1150.0
 CoCrFeNiCu   ,1140.0
 CoCrFeNiTi   ,1120.0
 CoCrFeNiAl   ,1100.0
 CoCrFeNiSi   ,1080.0
 CoCrFeNiMg   ,1060.0
 CoCrFeNiZn   ,1040.0
 CoNiFe(AlSi)0.2 ,342.0
 HEA         ,1262.0
 SWCed       ,630.0
 HEA         ,315.0
 CTCRed HEA  ,1500.0
 Coated HEA  ,130.0
 As-cast HEA ,52.0
 MoNbTaVW RHEA ,2612.0
 Ni20Co20Fe20Cr20Al20 ,1860.0
 Ni20Co20Fe20Cr20Sn20 ,1830.0
 CoCrFeNi+Y2O3 ,1754.0
 MoNbTaW RHEA (at 1at.%% Ti) ,1455.0
 Ni20Co20Fe20Cr20Ga20 ,1360.0
 Al14Co4Cr34Fe34Ni14 HEA ,1353.0
 Al0.5CoCrCuFeNi ,1292.0
 Al-containing HEA ,1250.0
 MoNbTaVW    ,1246.0
 Ni20Co20Fe20Cr20Ge20 ,1130.0
 MoNbTaW     ,1058.0
 HfNbTaTiZr HEA ,1015.0
 HfNbTaTiZr  ,929.0
 AlCrFe2Ni2 HEA ,796.0
 This alloy  ,656.0
 CoCrFeNi HEA ,654.0
 Al19Co20Fe20Ni41 eutectic HEA ,577.0
 Co10Cr10Fe40Mn40 + 1wt% C and Mo ,560.0
 C-containing HEAs ,527.0
 Al0.3CoCrFeNi FCC HEA ,490.0
 MoNbTaVW    ,477.0
 CrNbTiVZr HEA ,440.0
 Alloy (700°C) ,413.0
 MoNbTaW    ,405.0
 HEA with Ni-P film ,400.0
 304 stainless steel ,310.0
 HEA substrate ,275.0
 Co10Cr10Fe40Mn40 ,240.0
 HEA without Cu ,188.0
 Al-free HEA ,95.0
 Alloy (900°C) ,94.0
 CoCrFeNi   ,1200.0
 EHEA       ,1437.0
 Zr-based bulk metallic glass ,1900.0
 Al2CoCrCuFeNi ,1230.0
 AlCoCrFeNi   ,1180.0
 CoCrFeNiPd   ,1175.0
 CoCrFeNiMn   ,1150.0
 CoCrFeNiCu   ,1140.0
 CoCrFeNiTi   ,1120.0
 CoCrFeNiAl   ,1100.0
 CoCrFeNiSi   ,1080.0
 CoCrFeNiMg   ,1060.0
 CoCrFeNiZn   ,1040.0
 CoCrFeNiB    ,1020.0
 CoCrFeNiGe   ,990.0
 CoCrFeNiSn   ,960.0
 CoCrFeNiP    ,930.0
 CoCrFeNiV    ,900.0
 CoCrFeNiNb   ,870.0
 CoCrFeNiMo   ,840.0
 CoCrFeNiW    ,810.0
 CoCrFeNiHf   ,780.0
