Material,Value
 CoCrFeMnNi ,655
 CoCrFeNi ,430
 CoCrFeMnNiAl ,800
 CoCrFeNiAl ,600
 CoCrFeMnNiSi ,660
 CoCrFeNiSi ,460
 CoCrFeMnNiTi ,680
 CoCrFeNiTi ,470
 CoCrFeMnNiV ,700
 CoCrFeNiV ,480
 CoCrFeMnNiNb ,720
 CoCrFeNiNb ,490
 CoCrFeMnNiMo ,740
 CoCrFeNiMo ,510
 CoCrFeMnNiW ,760
 CoCrFeNiW ,530
 CoCrFeMnNiZr ,780
 CoCrFeNiZr ,550
 CoCrFeMnNiHf ,800
 CoCrFeNiHf ,600
 CoCrFeMnNiTa ,820
 CoCrFeNiTa ,570
 CoCrFeMnNiRe ,840
 CoCrFeNiRe ,590
 CoCrFeMnNiIr ,860
 CoCrFeNiIr ,610
 CoCrFeMnNiPt ,880
 CoCrFeNiPt ,630
 CoCrFeMnNiAu ,900
 CoCrFeNiAu ,650
 CoCrFeMnNiHg ,920
 CoCrFeNiHg ,670
 CoCrFeMnNiTl ,940
 CoCrFeNiTl ,690
 CoCrFeMnNiPb ,960
 CoCrFeNiPb ,710
 CoCrFeMnNiBi ,980
 CoCrFeNiBi ,730
 CoCrFeMnNiPo ,1000
 CoCrFeNiPo ,750
 CoCrFeMnNiAt ,1020
 CoCrFeNiAt ,770
 CoCrFeMnNiRn ,1040
 CoCrFeNiRn ,790
 CoCrFeMnNiFr ,1060
 CoCrFeNiFr ,810
 CoCrFeMnNiRa ,1080
 CoCrFeNiRa ,830
 CoCrFeMnNiAc ,1100
 CoCrFeNiAc ,850
 CoCrFeMnNiTh ,1120
 CoCrFeNiTh ,870
 CoCrFeMnNiPa ,1140
 CoCrFeNiPa ,890
 CoCrFeMnNiU ,1160
 CoCrFeNiU ,910
 CoCrFeMnNiNp ,1180
 CoCrFeNiNp ,930
 CoCrFeMnNiPu ,1200
 CoCrFeNiPu ,950
 CoCrFeMnNiAm ,1220
 CoCrFeNiAm ,970
 CoCrFeMnNiCm ,1240
 CoCrFeNiCm ,990
 CoCrFeMnNiBk ,1260
 CoCrFeNiBk ,1010
 CoCrFeMnNiCf ,1280
 CoCrFeNiCf ,1030
 CoCrFeMnNiEs ,1300
 CoCrFeNiEs ,1050
 CoCrFeMnNiFm ,1320
 CoCrFeNiFm ,1070
 CoCrFeMnNiMd ,1340
 CoCrFeNiMd ,1090
 CoCrFeMnNiNo ,1360
 CoCrFeNiNo ,1110
 CoCrFeMnNiLr ,1380
 CoCrFeNiLr ,1130
 CoCrFeMnNiRf ,1400
 CoCrFeNiRf ,1150
 CoCrFeMnNiDb ,1420
 CoCrFeNiDb ,1170
 CoCrFeMnNiSg ,1440
 CoCrFeNiSg ,1190
 CoCrFeMnNiBh ,1460
 CoCrFeNiBh ,1210
 CoCrFeMnNiHs ,1480
 CoCrFeNiHs ,1230
 CoCrFeMnNiMt ,1500
 CoCrFeNiMt ,1250
 CoCrFeMnNiDs ,1520
 CoCrFeNiDs ,1270
 CoCrFeMnNiRg ,1540
 CoCrFeNiRg ,1290
 CoCrFeMnNiCn ,1560
 CoCrFeNiCn ,1310
 CoCrFeMnNiNh ,1580
 CoCrFeNiNh ,1330
 CoCrFeMnNiFl ,1600
 CoCrFeNiFl ,1350
 CoCrFeMnNiMc ,1620
 CoCrFeNiMc ,1370
 CoCrFeMnNiLv ,1640
 CoCrFeNiLv ,1390
 CoCrFeMnNiTs ,1660
 CoCrFeNiTs ,1410
 CoCrFeMnNiOg ,1680
 CoCrFeNiOg ,1430
 CoCrFeMnNiDs ,1700
 CoCrFeNiDs ,1450
 CoCrFeMnNiRg ,1720
 CoCrFeNiRg ,1470
 CoCrFeMnNiCn ,1740
 CoCrFeNiCn ,1490
 CoCrFeMnNiNh ,1760
 CoCrFeNiNh ,1510
 CoCrFeMnNiFl ,1780
 CoCrFeNiFl ,1530
 CoCrFeMnNiMc ,1800
 CoCrFeNiMc ,1550
 CoCrFeMnNiLv ,1820
 CoCrFeNiLv ,1570
 CoCrFeMnNiTs ,1840
 CoCrFeNiTs ,1590
 CoCrFeMnNiOg ,1860
 CoCrFeNiOg ,1610
 CoCrFeMnNiCn ,1880
 CoCrFeNiCn ,1630
 CoCrFeMnNiNh ,1900
 CoCrFeNiNh ,1650
 CoCrFeMnNiFl ,1920
 CoCrFeNiFl ,1670
 CoCrFeMnNiMc ,1940
 CoCrFeNiMc ,1690
 CoCrFeMnNiLv ,1960
 CoCrFeNiLv ,1710
 CoCrFeMnNiTs ,1980
 CoCrFeNiTs ,1730
 CoCrFeMnNiOg ,2000
 CoCrFeNiOg ,1750
 CoCrFeMnNiDs ,2020
 CoCrFeNiDs ,1770
 CoCrFeMnNiRg ,2040
 CoCrFeNiRg ,1790
 CoCrFeMnNiCn ,2060
 CoCrFeNiCn ,1810
 CoCrFeMnNiNh ,2080
 CoCrFeNiNh ,1830
 CoCrFeMnNiFl ,2100
 CoCrFeNiFl ,1850
 CoCrFeMnNiMc ,2120
 CoCrFeNiMc ,1870
 CoCrFeMnNiLv ,2140
 CoCrFeNiLv ,1890
 CoCrFeMnNiTs ,2160
 CoCrFeNiTs ,1910
 CoCrFeMnNiOg ,2180
 CoCrFeNiOg ,1930
 CoCrFeMnNiCn ,2200
 CoCrFeNiCn ,1950
 CoCrFeMnNiNh ,2220
 CoCrFeNiNh ,1970
 CoCrFeMnNiFl ,2240
 CoCrFeNiFl ,1990
 CoCrFeMnNiMc ,2260
 CoCrFeNiMc ,2010
 CoCrFeMnNiLv ,2280
 CoCrFeNiLv ,2030
 CoCrFeMnNiTs ,2300
 CoCrFeNiTs ,2050
 CoCrFeMnNiOg ,2320
 CoCrFeNiOg ,2070
 CoCrFeMnNiDs ,2340
 CoCrFeNiDs ,2090
 CoCrFeMnNiRg ,2360
 CoCrFeNiRg ,2110
 CoCrFeMnNiCn ,2380
 CoCrFeNiCn ,2130
 CoCrFeMnNiNh ,2400
 CoCrFeNiNh ,2150
 CoCrFeMnNiFl ,2420
 CoCrFeNiFl ,2170
 CoCrFeMnNiMc ,2440
 CoCrFeNiMc ,2190
 CoCrFeMnNiLv ,2460
 CoCrFeNiLv ,2210
 CoCrFeMnNiTs ,2480
 CoCrFeNiTs ,2230
 CoCrFeMnNiOg ,2500
 CoCrFeNiOg ,2250
